ID;Name;Total Paid;Pending;Date
61;Cliente 61;280.0;0;2015-03-05
0;Cliente Sauna;70398.0;0;2014-04-05
2;Cliente 2;1042.0;0;2014-04-05
5;Cliente 5;847.0;0;2014-04-05
6;Cliente 6;2088.5;0;2014-04-05
7;Cliente 7;97.0;250.0;2014-04-05
16;Cliente 16;384.0;144.0;2014-04-05
20;Cliente 20;233.0;902.0;2014-04-05
36;Cliente 36;183.0;0;2014-04-05
41;Cliente 41;17.0;531.3499999999999;2014-04-05
43;Cliente 43;19.0;145.35000000000002;2014-04-05
44;Cliente 44;15.0;141.35000000000002;2014-04-05
